host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
massacr.com,48,D,64,64,46,0,Squarespace,no,no,no,11.88
panaderiacumpanis.com,41,D,52,54,44,0,Squarespace,no,no,no,15.44
k-prichoscr.com,40,D,62,36,38,16,,sí,no,no,6.39
trueflavorscr.com,59,C,50,88,72,16,Starfield,sí,no,no,
sugarbakerscr.com,67,C,56,68,68,82,WordPress,sí,sí,sí,28.22
pasteleriasanjose.com,30,E,57,10,22,26,,no,sí,sí,14.88
panyamor.com,53,D,50,70,74,10,Starfield,no,no,no,
solcrea.shop,70,B,51,88,90,52,Wix,sí,sí,sí,12.63
