host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
icegreencr.biz,62,C,65,56,64,66,,no,sí,sí,14.17
heladeria0039.com,41,D,50,40,40,30,,no,no,no,
gelati0039.com,58,C,64,74,56,26,Wix,no,sí,sí,8.24
osopolarcr.com,57,C,54,78,56,30,Squarespace,no,sí,no,20.02
cremrica.com,52,D,59,80,40,13,,no,no,no,7.5
heladisimocr.com,61,C,63,72,64,40,,no,sí,no,8.94
heladospecositas.com,65,C,29,85,82,72,Squarespace,sí,sí,sí,12.58
sensacioncr.com,41,D,50,40,40,30,,no,no,no,
