host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
massacr.com,43,D,50,64,46,0,Squarespace,no,no,no,
panaderiacumpanis.com,39,E,48,54,44,0,Squarespace,no,no,no,13.56
trueflavorscr.com,57,C,50,80,72,16,Starfield,sí,no,no,
k-prichoscr.com,39,E,59,36,38,16,,sí,no,no,5.95
pasteleriasanjose.com,70,B,100,78,72,10,Shopify,no,no,no,0.76
panyamor.com,60,C,74,70,74,10,Starfield,no,no,no,5.15
sugarbakerscr.com,65,C,48,68,68,82,WordPress,sí,sí,sí,21.23
solcrea.shop,68,C,61,88,90,26,Wix,sí,no,no,5.58
