host,indice,grado,velocidad,visibilidad,conversion,automatizacion,stack,whatsapp,analytics,meta_pixel,lcp_movil
icegreencr.biz,56,C,63,56,64,36,,no,sí,sí,8.9
heladeria0039.com,41,D,50,40,40,30,,no,no,no,
gelati0039.com,50,D,55,74,56,0,Wix,no,no,no,8.32
osopolarcr.com,53,D,42,78,56,30,Squarespace,no,sí,no,20.74
cremrica.com,56,C,59,80,40,30,,no,no,no,7.55
heladisimocr.com,61,C,63,72,64,40,,no,sí,no,8.88
sensacioncr.com,41,D,50,40,40,30,,no,no,no,
heladospecositas.com,63,C,38,85,82,46,Squarespace,sí,sí,no,31.98
